1,뉴트리아,nutria,mammalia
2,늑대거북,common snapping turtle,reptile
3,리버쿠터,river cooter,reptile
4,악어거북,alligator snapping turtle,reptile
5,중국줄무늬목거북,chinese stripe-necked turtle,reptile
6,붉은귀거북,pond slider,reptile
7,황소개구리,american bull frog,amphibia
8,배스,largemouth bass,pisces
9,브라운송어,brown trout,pisces
10,블루길,bluegill,pisces
11,갈색날개매미충,ricania speculum,insect
12,긴다리비틀개미,crazy ant,insect
13,꽃매미,spotted lanternfly,insect
14,등검은말벌,yellow-legged hornet,insect
15,미국선녀벌레,citrus flatid planthopper,insect
16,붉은불개미,red imported fire ant,insect
17,빗살무늬미주메뚜기,differential grasshopper,insect
18,아르헨티나 개미,argentine ant,insect
19,미국가재,procambarus clarkii,invertebrate
20,가시박,bur cucumber,plant
21,가시상추,prickly lettuce,plant
22,갯줄풀,smooth cordgrass,plant
23,단풍잎돼지풀,great ragweed,plant
24,도깨비가지,carolina horsenettle,plant
25,돼지풀,ragweed,plant
26,돼지풀아재비,parthenium hysterophorus,plant
27,마늘냉이,garlic mustard,plant
28,물참새피,paspalum distichum,plant
29,미국쑥부쟁이,white heath aster,plant
30,서양금혼초,cats-ear,plant
31,서양등골나물,white snakeroot,plant
32,애기수영,rumex acetosella,plant
33,양미역취,solidago altissima,plant
34,영국갯끈풀,common cordgrass,plant
35,털물참새피,knot grass,plant
36,환삼덩굴,japanese hop,plant